"_id","_index","_score",auteur,contenu,langue,score,sentiment,titre
"q3VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"ten outside soon doctor shake everyone treatment seat radio land",en,0,neutre,"Post d04ae0ae"
"rHVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"life come standstill point",it,0,neutre,"Post 6aca890a"
"rXVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"girl nigga make sick stomach",sv,"-0.714",negatif,"Post 9d31c174"
"rnVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"wan na fuck",sw,"-0.3",negatif,"Post 7b0c9987"
"r3VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"oh hey ashamed disgusting self",en,"-1",negatif,"Post 281bce4d"
"sHVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"haha be not route run part position people dumb fuck edelman look like say",en,"-0.192",negatif,"Post 5b457e57"
"sXVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"racism u select yur white clothe wash first black colored one",en,"0.028",neutre,"Post 1e82c42c"
"snVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"islamist fully follow teaching muhamme find quran hadith",en,0,neutre,"Post ce223e5e"
"s3VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"male action moviesehhhh thatdamnram sexist female action moviesehhhh",en,"0.05",neutre,"Post 56cf6279"
"tHVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"wish arena partner",en,0,neutre,"Post 1ddf62e6"
"tXVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"hope round humble girl can not cook",en,"-0.2",negatif,"Post f6721faf"
"tnVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"hahahahaha islam evil",so,"-0.4",negatif,"Post b31cda0e"
"t3VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"thank everyone come walk us san benito bully dog group",en,0,neutre,"Post ad063f03"
"uHVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"deal harassment",pt,0,neutre,"Post 661f4782"
"uXVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"nigger you re dumb nigger fuck riot want war",af,"-0.388",negatif,"Post 5c14c35f"
"unVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"hate job",hu,"-0.8",negatif,"Post c8729693"
"u3VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"get fuck real dude",da,"-0.1",neutre,"Post 5290cb04"
"vHVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"heh fuck em",en,"-0.4",negatif,"Post 60b7220b"
"vXVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"know people like do not listen old school",en,"0.1",neutre,"Post ddd06930"
"vnVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"really miss classmate n schoolmate see soon people",en,"0.2",positif,"Post df5fdbb8"
"v3VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"let talk mean victim",en,"-0.194",negatif,"Post 727bf0bd"
